X,Y,OBJECTID,SENSOR_UNIQUE_ID,GPSX,GPSY,MTYPE,SENSOR_STATUS,PMZ,PMZ2,ADDRESS_SPACE,TOOLTIP,NLA_URL
-118.262665825967,34.0369050687405,7944,CB257,-118.262654,34.0369,IPS,3,CB,CB2,1300 S HILL ST,Address Space: 1300 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB257\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7944
-118.262628638625,34.0369515008833,7945,CB258,-118.262617,34.036947,IPS,3,CB,CB2,1300 S HILL ST,Address Space: 1300 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB258\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7945
-118.262577190098,34.0370136858063,7946,CB259,-118.262565,34.037009,IPS,3,CB,CB2,1300 S HILL ST,Address Space: 1300 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB259\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7946
-118.26253795368,34.03706111406,7947,CB260,-118.262526,34.037056,IPS,3,CB,CB2,1300 S HILL ST,Address Space: 1300 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB260\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7947
-118.257564098291,34.031908274099,7948,CB4185,-118.257552,34.031903,IPS,3,CB,CB4,501 E 15TH ST,Address Space: 501 E 15TH ST\nType: IPS’\nAs of: 06/17/2015\nID: CB4185\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7948
-118.257511483207,34.0318804731798,7949,CB4184,-118.257499,34.031876,IPS,3,CB,CB4,501 E 15TH ST,Address Space: 501 E 15TH ST\nType: IPS’\nAs of: 06/17/2015\nID: CB4184\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7949
-118.257693366308,34.031973662054,7950,CB4187,-118.257681,34.031969,IPS,3,CB,CB4,501 E 15TH ST,Address Space: 501 E 15TH ST\nType: IPS’\nAs of: 06/17/2015\nID: CB4187\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7950
-118.257642779664,34.0319473876591,7951,CB4186,-118.257631,34.031943,IPS,3,CB,CB4,501 E 15TH ST,Address Space: 501 E 15TH ST\nType: IPS’\nAs of: 06/17/2015\nID: CB4186\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7951
-118.257765854939,34.0320099281991,7952,CB4188,-118.257754,34.032005,IPS,3,CB,CB4,501 E 15TH ST,Address Space: 501 E 15TH ST\nType: IPS’\nAs of: 06/17/2015\nID: CB4188\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7952
-118.259159599748,34.0322948939303,7953,CB4341,-118.259147,34.03229,IPS,3,CB,CB4,1501 S MAPLE AVE,Address Space: 1501 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB4341\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7953
-118.259125683228,34.032338699019,7954,CB4340,-118.259114,34.032334,IPS,3,CB,CB4,1501 S MAPLE AVE,Address Space: 1501 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB4340\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7954
-118.258633612067,34.0329479826689,7955,CB2063,-118.258621,34.032943,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2063\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7955
-118.258668283969,34.0329038695797,7956,CB2064,-118.258656,34.032899,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2064\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7956
-118.258717572854,34.0328424725906,7957,CB2065,-118.258705,34.032838,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2065\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7957
-118.258750470696,34.0328007252865,7958,CB2066,-118.258738,34.032796,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2066\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7958
-118.258802843139,34.0327371390514,7959,CB2067,-118.258791,34.032732,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2067\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7959
